token,frequency,total,idf
though,16,37,0.8383291904044432
today,16,37,0.8383291904044432
theory,16,37,0.8383291904044432
turn,16,37,0.8383291904044432
him,16,37,0.8383291904044432
associated,16,37,0.8383291904044432
related,16,37,0.8383291904044432
previous,15,37,0.9028677115420144
divided,15,37,0.9028677115420144
city,15,37,0.9028677115420144
rest,15,37,0.9028677115420144
small,15,37,0.9028677115420144
followed,15,37,0.9028677115420144
see,15,37,0.9028677115420144
line,15,37,0.9028677115420144
us,15,37,0.9028677115420144
influence,15,37,0.9028677115420144
young,15,37,0.9028677115420144
next,15,37,0.9028677115420144
process,15,37,0.9028677115420144
established,15,37,0.9028677115420144
total,15,37,0.9028677115420144
word,15,37,0.9028677115420144
created,15,37,0.9028677115420144
john,15,37,0.9028677115420144
latter,15,37,0.9028677115420144
hand,15,37,0.9028677115420144
together,15,37,0.9028677115420144
appear,15,37,0.9028677115420144
live,15,37,0.9028677115420144
3,15,37,0.9028677115420144
central,15,37,0.9028677115420144
moved,15,37,0.9028677115420144
strong,15,37,0.9028677115420144
taken,15,37,0.9028677115420144
popular,15,37,0.9028677115420144
believed,15,37,0.9028677115420144
control,15,37,0.9028677115420144
special,15,37,0.9028677115420144
whom,15,37,0.9028677115420144
basis,15,37,0.9028677115420144
seven,15,37,0.9028677115420144
french,15,37,0.9028677115420144
man,15,37,0.9028677115420144
earlier,15,37,0.9028677115420144
members,15,37,0.9028677115420144
taking,15,37,0.9028677115420144
works,15,37,0.9028677115420144
development,15,37,0.9028677115420144
included,15,37,0.9028677115420144
far,15,37,0.9028677115420144
find,15,37,0.9028677115420144
view,15,37,0.9028677115420144
lead,15,37,0.9028677115420144
nature,14,37,0.9718605830289658
european,14,37,0.9718605830289658
brought,14,37,0.9718605830289658
east,14,37,0.9718605830289658
support,14,37,0.9718605830289658
studies,14,37,0.9718605830289658
her,14,37,0.9718605830289658
complete,14,37,0.9718605830289658
relationship,14,37,0.9718605830289658
primarily,14,37,0.9718605830289658
land,14,37,0.9718605830289658
resulting,14,37,0.9718605830289658
move,14,37,0.9718605830289658
society,14,37,0.9718605830289658
above,14,37,0.9718605830289658
highly,14,37,0.9718605830289658
production,14,37,0.9718605830289658
de,14,37,0.9718605830289658
away,14,37,0.9718605830289658
applied,14,37,0.9718605830289658
physical,14,37,0.9718605830289658
forms,14,37,0.9718605830289658
mostly,14,37,0.9718605830289658
german,14,37,0.9718605830289658
role,14,37,0.9718605830289658
start,14,37,0.9718605830289658
reason,14,37,0.9718605830289658
close,14,37,0.9718605830289658
march,14,37,0.9718605830289658
university,14,37,0.9718605830289658
latin,14,37,0.9718605830289658
written,14,37,0.9718605830289658
home,14,37,0.9718605830289658
previously,14,37,0.9718605830289658
seen,14,37,0.9718605830289658
human,14,37,0.9718605830289658
why,14,37,0.9718605830289658
finally,14,37,0.9718605830289658
largely,14,37,0.9718605830289658
4,14,37,0.9718605830289658
notable,14,37,0.9718605830289658
good,14,37,0.9718605830289658
association,14,37,0.9718605830289658
examples,14,37,0.9718605830289658
body,14,37,0.9718605830289658
areas,14,37,0.9718605830289658
received,14,37,0.9718605830289658
gave,14,37,0.9718605830289658
head,14,37,0.9718605830289658
water,14,37,0.9718605830289658
1,14,37,0.9718605830289658
origin,14,37,0.9718605830289658
white,14,37,0.9718605830289658
war,14,37,0.9718605830289658
events,14,37,0.9718605830289658
except,14,37,0.9718605830289658
provided,14,37,0.9718605830289658
includes,14,37,0.9718605830289658
wrote,14,37,0.9718605830289658
higher,14,37,0.9718605830289658
range,14,37,0.9718605830289658
six,14,37,0.9718605830289658
practice,14,37,0.9718605830289658
words,14,37,0.9718605830289658
thus,14,37,0.9718605830289658
english,14,37,0.9718605830289658
book,14,37,0.9718605830289658
music,13,37,1.0459685551826878
derived,13,37,1.0459685551826878
saw,13,37,1.0459685551826878
formed,13,37,1.0459685551826878
returned,13,37,1.0459685551826878
full,13,37,1.0459685551826878
sense,13,37,1.0459685551826878
always,13,37,1.0459685551826878
play,13,37,1.0459685551826878
closely,13,37,1.0459685551826878
currently,13,37,1.0459685551826878
recent,13,37,1.0459685551826878
came,13,37,1.0459685551826878
continued,13,37,1.0459685551826878
produced,13,37,1.0459685551826878
2010,13,37,1.0459685551826878
fields,13,37,1.0459685551826878
fact,13,37,1.0459685551826878
kept,13,37,1.0459685551826878
spread,13,37,1.0459685551826878
evidence,13,37,1.0459685551826878
appears,13,37,1.0459685551826878
shown,13,37,1.0459685551826878
directly,13,37,1.0459685551826878
america,13,37,1.0459685551826878
typically,13,37,1.0459685551826878
low,13,37,1.0459685551826878
actually,13,37,1.0459685551826878
authors,13,37,1.0459685551826878
towards,13,37,1.0459685551826878
probably,13,37,1.0459685551826878
frequently,13,37,1.0459685551826878
north,13,37,1.0459685551826878
education,13,37,1.0459685551826878
men,13,37,1.0459685551826878
type,13,37,1.0459685551826878
features,13,37,1.0459685551826878
near,13,37,1.0459685551826878
deal,13,37,1.0459685551826878
10,13,37,1.0459685551826878
behind,13,37,1.0459685551826878
get,13,37,1.0459685551826878
across,13,37,1.0459685551826878
refers,13,37,1.0459685551826878
children,13,37,1.0459685551826878
extended,13,37,1.0459685551826878
individual,13,37,1.0459685551826878
giving,13,37,1.0459685551826878
ancient,13,37,1.0459685551826878
eight,13,37,1.0459685551826878
success,13,37,1.0459685551826878
school,13,37,1.0459685551826878
direct,13,37,1.0459685551826878
changes,13,37,1.0459685551826878
writing,13,37,1.0459685551826878
western,13,37,1.0459685551826878
proposed,13,37,1.0459685551826878
specific,13,37,1.0459685551826878
presence,13,37,1.0459685551826878
groups,13,37,1.0459685551826878
europe,13,37,1.0459685551826878
come,13,37,1.0459685551826878
research,13,37,1.0459685551826878
influenced,13,37,1.0459685551826878
might,13,37,1.0459685551826878
return,13,37,1.0459685551826878
attention,13,37,1.0459685551826878
our,13,37,1.0459685551826878
difficult,13,37,1.0459685551826878
half,13,37,1.0459685551826878
letter,12,37,1.1260112628562242
never,12,37,1.1260112628562242
worked,12,37,1.1260112628562242
played,12,37,1.1260112628562242
things,12,37,1.1260112628562242
right,12,37,1.1260112628562242
therefore,12,37,1.1260112628562242
commonly,12,37,1.1260112628562242
million,12,37,1.1260112628562242
2,12,37,1.1260112628562242
average,12,37,1.1260112628562242
power,12,37,1.1260112628562242
causes,12,37,1.1260112628562242
via,12,37,1.1260112628562242
community,12,37,1.1260112628562242
read,12,37,1.1260112628562242
elements,12,37,1.1260112628562242
2012,12,37,1.1260112628562242
stage,12,37,1.1260112628562242
placed,12,37,1.1260112628562242
books,12,37,1.1260112628562242
compared,12,37,1.1260112628562242
era,12,37,1.1260112628562242
greek,12,37,1.1260112628562242
standard,12,37,1.1260112628562242
independent,12,37,1.1260112628562242
traditions,12,37,1.1260112628562242
true,12,37,1.1260112628562242
concept,12,37,1.1260112628562242
television,12,37,1.1260112628562242
remained,12,37,1.1260112628562242
title,12,37,1.1260112628562242
religious,12,37,1.1260112628562242
help,12,37,1.1260112628562242
culture,12,37,1.1260112628562242
lived,12,37,1.1260112628562242
uses,12,37,1.1260112628562242
economic,12,37,1.1260112628562242
commercial,12,37,1.1260112628562242
remains,12,37,1.1260112628562242
variety,12,37,1.1260112628562242
final,12,37,1.1260112628562242
overall,12,37,1.1260112628562242
effect,12,37,1.1260112628562242
personal,12,37,1.1260112628562242
side,12,37,1.1260112628562242
points,12,37,1.1260112628562242
principle,12,37,1.1260112628562242
subject,12,37,1.1260112628562242
interest,12,37,1.1260112628562242
basic,12,37,1.1260112628562242
character,12,37,1.1260112628562242
fall,12,37,1.1260112628562242
movement,12,37,1.1260112628562242
distinct,12,37,1.1260112628562242
numbers,12,37,1.1260112628562242
least,12,37,1.1260112628562242
built,12,37,1.1260112628562242
particularly,12,37,1.1260112628562242
replaced,12,37,1.1260112628562242
organization,12,37,1.1260112628562242
follows,12,37,1.1260112628562242
per,12,37,1.1260112628562242
2000,12,37,1.1260112628562242
2009,12,37,1.1260112628562242
private,12,37,1.1260112628562242
account,12,37,1.1260112628562242
scholars,12,37,1.1260112628562242
classical,12,37,1.1260112628562242
adopted,12,37,1.1260112628562242
despite,12,37,1.1260112628562242
countries,12,37,1.1260112628562242
games,12,37,1.1260112628562242
50,12,37,1.1260112628562242
sciences,12,37,1.1260112628562242
author,12,37,1.1260112628562242
model,12,37,1.1260112628562242
program,12,37,1.1260112628562242
numerous,12,37,1.1260112628562242
widely,12,37,1.1260112628562242
analysis,12,37,1.1260112628562242
larger,12,37,1.1260112628562242
december,12,37,1.1260112628562242
light,12,37,1.1260112628562242
ability,12,37,1.1260112628562242
perhaps,12,37,1.1260112628562242
know,12,37,1.1260112628562242
here,11,37,1.213022639845854
reported,11,37,1.213022639845854
types,11,37,1.213022639845854
child,11,37,1.213022639845854
understanding,11,37,1.213022639845854
opposed,11,37,1.213022639845854
originally,11,37,1.213022639845854
allowed,11,37,1.213022639845854
date,11,37,1.213022639845854
data,11,37,1.213022639845854
future,11,37,1.213022639845854
west,11,37,1.213022639845854
technology,11,37,1.213022639845854
october,11,37,1.213022639845854
ad,11,37,1.213022639845854
2007,11,37,1.213022639845854
consider,11,37,1.213022639845854
caused,11,37,1.213022639845854
past,11,37,1.213022639845854
science,11,37,1.213022639845854
sent,11,37,1.213022639845854
information,11,37,1.213022639845854
entire,11,37,1.213022639845854
status,11,37,1.213022639845854
internal,11,37,1.213022639845854
continue,11,37,1.213022639845854
results,11,37,1.213022639845854
continues,11,37,1.213022639845854
occurred,11,37,1.213022639845854
animal,11,37,1.213022639845854
worldwide,11,37,1.213022639845854
asked,11,37,1.213022639845854
rule,11,37,1.213022639845854
historical,11,37,1.213022639845854
observed,11,37,1.213022639845854
aid,11,37,1.213022639845854
court,11,37,1.213022639845854
media,11,37,1.213022639845854
put,11,37,1.213022639845854
contains,11,37,1.213022639845854
soon,11,37,1.213022639845854
referred,11,37,1.213022639845854
heavy,11,37,1.213022639845854
earliest,11,37,1.213022639845854
famous,11,37,1.213022639845854
toward,11,37,1.213022639845854
lives,11,37,1.213022639845854
william,11,37,1.213022639845854
structure,11,37,1.213022639845854
go,11,37,1.213022639845854
she,11,37,1.213022639845854
importance,11,37,1.213022639845854
sources,11,37,1.213022639845854
lost,11,37,1.213022639845854
highest,11,37,1.213022639845854
likely,11,37,1.213022639845854
ever,11,37,1.213022639845854
rights,11,37,1.213022639845854
give,11,37,1.213022639845854
weeks,11,37,1.213022639845854
u.s.,11,37,1.213022639845854
suggested,11,37,1.213022639845854
ii,11,37,1.213022639845854
claims,11,37,1.213022639845854
father,11,37,1.213022639845854
claim,11,37,1.213022639845854
15,11,37,1.213022639845854
black,11,37,1.213022639845854
arts,11,37,1.213022639845854
again,11,37,1.213022639845854
20th,11,37,1.213022639845854
done,11,37,1.213022639845854
raise,11,37,1.213022639845854
source,11,37,1.213022639845854
composed,11,37,1.213022639845854
names,11,37,1.213022639845854
greater,11,37,1.213022639845854
south,11,37,1.213022639845854
reached,11,37,1.213022639845854
supported,11,37,1.213022639845854
appearance,11,37,1.213022639845854
claimed,11,37,1.213022639845854
material,11,37,1.213022639845854
rise,11,37,1.213022639845854
changed,11,37,1.213022639845854
free,11,37,1.213022639845854
days,11,37,1.213022639845854
cultural,11,37,1.213022639845854
plus,11,37,1.213022639845854
differences,11,37,1.213022639845854
born,11,37,1.213022639845854
whereas,11,37,1.213022639845854
cases,11,37,1.213022639845854
gives,11,37,1.213022639845854
region,11,37,1.213022639845854
accepted,11,37,1.213022639845854
lack,11,37,1.213022639845854
version,11,37,1.213022639845854
short,11,37,1.213022639845854
style,11,37,1.213022639845854
health,11,37,1.213022639845854
story,11,37,1.213022639845854
leading,11,37,1.213022639845854
added,11,37,1.213022639845854
reach,11,37,1.213022639845854
art,11,37,1.213022639845854
political,11,37,1.213022639845854
capital,11,37,1.213022639845854
july,11,37,1.213022639845854
april,11,37,1.213022639845854
below,11,37,1.213022639845854
increasing,10,37,1.308332819650179
foundation,10,37,1.308332819650179
service,10,37,1.308332819650179
needed,10,37,1.308332819650179
union,10,37,1.308332819650179
split,10,37,1.308332819650179
possibly,10,37,1.308332819650179
decades,10,37,1.308332819650179
note,10,37,1.308332819650179
act,10,37,1.308332819650179
joined,10,37,1.308332819650179
method,10,37,1.308332819650179
prior,10,37,1.308332819650179
action,10,37,1.308332819650179
6,10,37,1.308332819650179
male,10,37,1.308332819650179
differ,10,37,1.308332819650179
sea,10,37,1.308332819650179
available,10,37,1.308332819650179
death,10,37,1.308332819650179
fire,10,37,1.308332819650179
makes,10,37,1.308332819650179
methods,10,37,1.308332819650179
religion,10,37,1.308332819650179
concerned,10,37,1.308332819650179
expressed,10,37,1.308332819650179
animals,10,37,1.308332819650179
2013,10,37,1.308332819650179
off,10,37,1.308332819650179
increased,10,37,1.308332819650179
government,10,37,1.308332819650179
problem,10,37,1.308332819650179
oldest,10,37,1.308332819650179
negative,10,37,1.308332819650179
theories,10,37,1.308332819650179
law,10,37,1.308332819650179
air,10,37,1.308332819650179
property,10,37,1.308332819650179
months,10,37,1.308332819650179
becoming,10,37,1.308332819650179
market,10,37,1.308332819650179
produce,10,37,1.308332819650179
january,10,37,1.308332819650179
professional,10,37,1.308332819650179
develop,10,37,1.308332819650179
tradition,10,37,1.308332819650179
takes,10,37,1.308332819650179
systems,10,37,1.308332819650179
robert,10,37,1.308332819650179
base,10,37,1.308332819650179
position,10,37,1.308332819650179
northern,10,37,1.308332819650179
won,10,37,1.308332819650179
look,10,37,1.308332819650179
older,10,37,1.308332819650179
remaining,10,37,1.308332819650179
completely,10,37,1.308332819650179
relations,10,37,1.308332819650179
need,10,37,1.308332819650179
employed,10,37,1.308332819650179
distribution,10,37,1.308332819650179
party,10,37,1.308332819650179
recognized,10,37,1.308332819650179
universal,10,37,1.308332819650179
consists,10,37,1.308332819650179
force,10,37,1.308332819650179
active,10,37,1.308332819650179
army,10,37,1.308332819650179
seem,10,37,1.308332819650179
reference,10,37,1.308332819650179
decided,10,37,1.308332819650179
appeared,10,37,1.308332819650179
literature,10,37,1.308332819650179
11,10,37,1.308332819650179
13,10,37,1.308332819650179
potential,10,37,1.308332819650179
show,10,37,1.308332819650179
speech,10,37,1.308332819650179
notably,10,37,1.308332819650179
enough,10,37,1.308332819650179
students,10,37,1.308332819650179
represent,10,37,1.308332819650179
founded,10,37,1.308332819650179
believe,10,37,1.308332819650179
majority,10,37,1.308332819650179
services,10,37,1.308332819650179
19th,10,37,1.308332819650179
simple,10,37,1.308332819650179
simply,10,37,1.308332819650179
philosophy,10,37,1.308332819650179
subsequently,10,37,1.308332819650179
text,10,37,1.308332819650179
equal,10,37,1.308332819650179
helped,10,37,1.308332819650179
italian,10,37,1.308332819650179
writers,10,37,1.308332819650179
primary,10,37,1.308332819650179
too,10,37,1.308332819650179
traditionally,10,37,1.308332819650179
complex,10,37,1.308332819650179
efforts,10,37,1.308332819650179
civil,10,37,1.308332819650179
existed,10,37,1.308332819650179
attempted,10,37,1.308332819650179
removed,10,37,1.308332819650179
longer,10,37,1.308332819650179
focus,10,37,1.308332819650179
level,10,37,1.308332819650179
broad,10,37,1.308332819650179
needs,10,37,1.308332819650179
ultimately,10,37,1.308332819650179
motion,10,37,1.308332819650179
george,10,37,1.308332819650179
released,10,37,1.308332819650179
cities,10,37,1.308332819650179
strongly,10,37,1.308332819650179
separate,10,37,1.308332819650179
wife,10,37,1.308332819650179
ten,10,37,1.308332819650179
king,10,37,1.308332819650179
institutions,10,37,1.308332819650179
activity,10,37,1.308332819650179
creating,10,37,1.308332819650179
9,10,37,1.308332819650179
moving,10,37,1.308332819650179
issues,10,37,1.308332819650179
languages,10,37,1.308332819650179
notes,10,37,1.308332819650179
noted,10,37,1.308332819650179
publication,10,37,1.308332819650179
ones,10,37,1.308332819650179
abandoned,10,37,1.308332819650179
largest,10,37,1.308332819650179
whether,10,37,1.308332819650179
record,10,37,1.308332819650179
branch,10,37,1.308332819650179
criticism,9,37,1.413693335308005
successful,9,37,1.413693335308005
purpose,9,37,1.413693335308005
asia,9,37,1.413693335308005
country,9,37,1.413693335308005
birth,9,37,1.413693335308005
slightly,9,37,1.413693335308005
son,9,37,1.413693335308005
offer,9,37,1.413693335308005
positive,9,37,1.413693335308005
values,9,37,1.413693335308005
turned,9,37,1.413693335308005
laws,9,37,1.413693335308005
combined,9,37,1.413693335308005
summer,9,37,1.413693335308005
aspects,9,37,1.413693335308005
origins,9,37,1.413693335308005
november,9,37,1.413693335308005
company,9,37,1.413693335308005
roots,9,37,1.413693335308005
cover,9,37,1.413693335308005
gold,9,37,1.413693335308005
showed,9,37,1.413693335308005
influential,9,37,1.413693335308005
respectively,9,37,1.413693335308005
allow,9,37,1.413693335308005
2015,9,37,1.413693335308005
2011,9,37,1.413693335308005
bring,9,37,1.413693335308005
genetic,9,37,1.413693335308005
spain,9,37,1.413693335308005
avoid,9,37,1.413693335308005
relationships,9,37,1.413693335308005
1996,9,37,1.413693335308005
1999,9,37,1.413693335308005
approximately,9,37,1.413693335308005
forces,9,37,1.413693335308005
techniques,9,37,1.413693335308005
security,9,37,1.413693335308005
presented,9,37,1.413693335308005
cost,9,37,1.413693335308005
shared,9,37,1.413693335308005
marked,9,37,1.413693335308005
1980s,9,37,1.413693335308005
write,9,37,1.413693335308005
cold,9,37,1.413693335308005
space,9,37,1.413693335308005
increase,9,37,1.413693335308005
british,9,37,1.413693335308005
ground,9,37,1.413693335308005
comes,9,37,1.413693335308005
learning,9,37,1.413693335308005
developing,9,37,1.413693335308005
humans,9,37,1.413693335308005
food,9,37,1.413693335308005
centuries,9,37,1.413693335308005
recorded,9,37,1.413693335308005
business,9,37,1.413693335308005
assumed,9,37,1.413693335308005
building,9,37,1.413693335308005
clear,9,37,1.413693335308005
popularity,9,37,1.413693335308005
justice,9,37,1.413693335308005
conditions,9,37,1.413693335308005
describes,9,37,1.413693335308005
game,9,37,1.413693335308005
historically,9,37,1.413693335308005
started,9,37,1.413693335308005
founding,9,37,1.413693335308005
function,9,37,1.413693335308005
achieve,9,37,1.413693335308005
understood,9,37,1.413693335308005
freedom,9,37,1.413693335308005
met,9,37,1.413693335308005
president,9,37,1.413693335308005
attempt,9,37,1.413693335308005
mean,9,37,1.413693335308005
principles,9,37,1.413693335308005
matter,9,37,1.413693335308005
regarded,9,37,1.413693335308005
1990s,9,37,1.413693335308005
daily,9,37,1.413693335308005
france,9,37,1.413693335308005
argued,9,37,1.413693335308005
emerged,9,37,1.413693335308005
speaking,9,37,1.413693335308005
declared,9,37,1.413693335308005
served,9,37,1.413693335308005
critical,9,37,1.413693335308005
starting,9,37,1.413693335308005
share,9,37,1.413693335308005
response,9,37,1.413693335308005
existence,9,37,1.413693335308005
running,9,37,1.413693335308005
ages,9,37,1.413693335308005
build,9,37,1.413693335308005
8,9,37,1.413693335308005
hold,9,37,1.413693335308005
annual,9,37,1.413693335308005
create,9,37,1.413693335308005
meeting,9,37,1.413693335308005
subsequent,9,37,1.413693335308005
directed,9,37,1.413693335308005
2002,9,37,1.413693335308005
2008,9,37,1.413693335308005
objects,9,37,1.413693335308005
extreme,9,37,1.413693335308005
effectively,9,37,1.413693335308005
identified,9,37,1.413693335308005
red,9,37,1.413693335308005
knowledge,9,37,1.413693335308005
otherwise,9,37,1.413693335308005
actual,9,37,1.413693335308005
1982,9,37,1.413693335308005
paris,9,37,1.413693335308005
consistent,9,37,1.413693335308005
top,9,37,1.413693335308005
radio,9,37,1.413693335308005
earth,9,37,1.413693335308005
twice,9,37,1.413693335308005
1960s,9,37,1.413693335308005
approach,9,37,1.413693335308005
greatest,9,37,1.413693335308005
mother,9,37,1.413693335308005
